,product,brand,weight,links,price,price_gr,nutritions,photo_link
108,Vegan Jerky Teriyaki - 50g,Fine Gusto,- 50g,https://kokku-online.de/fine-gusto-nature-vegan-jerky-teriyaki/,1.99 €,3.98€/100g,"Brennwert1206 kJ / 288 kcalFett5g- davon gesättigte Fettsäuren0,6gKohlenhydrate32,6g- davon Zucker11,4gEiweiß27,5gSalz4,03g",https://kokku-online.de//bilder/350x350/15711/fine-gusto-nature-vegan-jerky-teriyaki.auto
109,Vegan Jerky BBQ - 50g,Fine Gusto,- 50g,https://kokku-online.de/fine-gusto-nature-vegan-jerky-bbq/,1.99 €,3.98€/100g,"Brennwert1262 kJ / 302 kcalFett7,9g- davon gesättigte Fettsäuren1,3gKohlenhydrate28,1g- davon Zucker9,3gEiweiß28,9gSalz4,05g",https://kokku-online.de//bilder/350x350/15712/fine-gusto-nature-vegan-jerky-bbq.auto
110,Tafel °Golden White° mit feiner Karamellnote - 70g,Lovechock,- 70g,https://kokku-online.de/lovechock-tafel-golden-white-mit-feiner-karamellnote/,3.99 €,5.70€/100g,"Brennwert2667 kJ / 642 kcalFett48,8g- davon gesättigte Fettsäuren30,6gKohlenhydrate48,4g- davon Zucker22,4gEiweiß0,6gSalz0,04g",https://kokku-online.de//bilder/350x350/15580/lovechock-tafel-golden-white-mit-feiner-karamellnote.auto
111,Riegel °Golden White Haselnuss Acerola° - 40g,Lovechock,- 40g,https://kokku-online.de/lovechock-riegel-golden-white-haselnuss-acerola/,2.49 €,6.23€/100g,"Brennwert2468 kJ / 595 kcalFett45g- davon gesättigte Fettsäuren26gKohlenhydrate43g- davon Zucker20gEiweiß1,7gSalz0,06g",https://kokku-online.de//bilder/350x350/15579/lovechock-riegel-golden-white-haselnuss-acerola.auto
112,Linsen Chips Sour Cream Style - 75g,Heimatgut,- 75g,https://kokku-online.de/heimatgut-linsen-chips-sour-cream-style/,2.79 €,3.72€/100g,"Brennwert1940 kJ / 463 kcalFett19g- davon gesättigte Fettsäuren1,7gKohlenhydrate59g- davon Zucker<1gEiweiß12gSalz2,6g",https://kokku-online.de//bilder/350x350/15207/heimatgut-linsen-chips-sour-cream-style.auto
113,Linsen Chips Rosmarin - 75g,Heimatgut,- 75g,https://kokku-online.de/heimatgut-linsen-chips-rosmarin/,2.79 €,3.72€/100g,"Brennwert2174 kJ / 519 kcalFett24,4g- davon gesättigte Fettsäuren2,1gKohlenhydrate63g- davon Zucker1,4gEiweiß10gSalz2,1g",https://kokku-online.de//bilder/350x350/15203/heimatgut-linsen-chips-rosmarin.auto
114,Linsen Chips Sweet Chili - 75g,Heimatgut,- 75g,https://kokku-online.de/heimatgut-linsen-chips-sweet-chili/,2.79 €,3.72€/100g,"Brennwert2163 kJ / 516 kcalFett24,2g- davon gesättigte Fettsäuren2gKohlenhydrate62,6g- davon Zucker1,9gEiweiß10,1gSalz2,1g",https://kokku-online.de//bilder/350x350/15198/heimatgut-linsen-chips-sweet-chili.auto
115,Protein Riegel - Haselnuss Schokolade - 40g,Heimatgut,- 40g,https://kokku-online.de/heimatgut-protein-riegel-chocolate-hazelnut/,2.09 €,5.23€/100g,"Brennwert2170 kJ / 525 kcalFett33g- davon gesättigte Fettsäuren13gKohlenhydrate34g- davon Zucker28gEiweiß21gSalz0,25g",https://kokku-online.de//bilder/350x350/15226/heimatgut-protein-riegel-chocolate-hazelnut.auto
116,Linsen Flips Sour Cream Style - 75g,Heimatgut,- 75g,https://kokku-online.de/heimatgut-proteinflips-sour-cream-style/,2.49 €,3.32€/100g,"Brennwert1623 kJ / 388 kcalFett12g- davon gesättigte Fettsäuren1,2gKohlenhydrate46g- davon Zucker3,1gEiweiß20gSalz1,57g",https://kokku-online.de//bilder/350x350/17456/heimatgut-proteinflips-sour-cream-style.auto
117,Linsen Flips Kräuter - 75g,Heimatgut,- 75g,https://kokku-online.de/heimatgut-protein-flips-original/,2.49 €,3.32€/100g,"Brennwert1604 kJ / 383 kcalFett11,8g- davon gesättigte Fettsäuren1,2gKohlenhydrate44,3g- davon Zucker1,8gEiweiß20,2gSalz2,3g",https://kokku-online.de//bilder/350x350/17832/heimatgut-protein-flips-original.auto
118,Popcorn Süß - 90g,Heimatgut,- 90g,https://kokku-online.de/heimatgut-popcorn-suess/,2.49 €,2.77€/100g,"Brennwert1890 kJ / 450 kcalFett17g- davon gesättigte Fettsäuren14gKohlenhydrate62g- davon Zucker28gEiweiß6,6gSalz0.29g",https://kokku-online.de//bilder/350x350/15137/heimatgut-popcorn-suess.auto
119,Popcorn Salzig - 60g,Heimatgut,- 60g,https://kokku-online.de/heimatgut-popcorn-salzig/,2.49 €,4.15€/100g,"Brennwert1850 kJ / 442 kcalFett17g- davon gesättigte Fettsäuren13gKohlenhydrate55g- davon Zucker0,9gEiweiß9,7gSalz1,5g",https://kokku-online.de//bilder/350x350/15139/heimatgut-popcorn-salzig.auto
120,Popcorn Süß & Salzig - 90g,Heimatgut,- 90g,https://kokku-online.de/heimatgut-popcorn-suess-salzig/,2.49 €,2.77€/100g,"Brennwert1890 kJ / 450 kcalFett17g- davon gesättigte Fettsäuren14gKohlenhydrate62g- davon Zucker28gEiweiß6,6gSalz0,7g",https://kokku-online.de//bilder/350x350/15138/heimatgut-popcorn-suess-salzig.auto
121,Kartoffel Chips Sour Cream Style - 125g,Heimatgut,- 125g,https://kokku-online.de/heimatgut-kartoffel-chips-sour-cream-style/,2.59 €,2.07€/100g,Brennwert2122 kJ / 510 kcalFett32.9g- davon gesättigte Fettsäuren2.8gKohlenhydrate45.6g- davon Zucker1.7gEiweiß5gSalz1.2g,https://kokku-online.de//bilder/350x350/15215/heimatgut-kartoffel-chips-sour-cream-style.auto
122,Kartoffel Chips Paprika - 125g,Heimatgut,- 125g,https://kokku-online.de/heimatgut-kartoffel-chips-paprika/,2.59 €,2.07€/100g,Brennwert2100 kJ / 504 kcalFett32g- davon gesättigte Fettsäuren2.8gKohlenhydrate46g- davon Zucker1.0gEiweiß5.3gSalz1g,https://kokku-online.de//bilder/350x350/15216/heimatgut-kartoffel-chips-paprika.auto
123,Kartoffel Chips Meersalz - 125g,Heimatgut,- 125g,https://kokku-online.de/heimatgut-kartoffel-chips-meersalz/,2.59 €,2.07€/100g,Brennwert2141 kJ / 514 kcalFett34g- davon gesättigte Fettsäuren2.9gKohlenhydrate45g- davon Zucker0.6gEiweiß5gSalz1.05g,https://kokku-online.de//bilder/350x350/15213/heimatgut-kartoffel-chips-meersalz.auto
124,Kartoffel Chips Rosmarin - 125g,Heimatgut,- 125g,https://kokku-online.de/heimatgut-kartoffel-chips-mediterran/,2.59 €,2.07€/100g,"Brennwert2115 kJ / 508 kcalFett33g- davon gesättigte Fettsäuren2,8gKohlenhydrate46g- davon Zucker1,9gEiweiß5gSalz1,2g",https://kokku-online.de//bilder/350x350/18059/heimatgut-kartoffel-chips-mediterran.auto
125,Süßkartoffel Chips - 100g,Heimatgut,- 100g,https://kokku-online.de/heimatgut-suesskartoffel-chips/,3.49 €,3.49€/100g,"Brennwert2217 kJ / 534 kcalFett38,5g- davon gesättigte Fettsäuren3,3gKohlenhydrate38,6g- davon Zucker21,6gEiweiß3,7gSalz1,35g",https://kokku-online.de//bilder/350x350/15210/heimatgut-suesskartoffel-chips.auto
